genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,66 anos,Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia; Lixo na ciclovia,Não,Não,Não,290525,,,,,,,
Masculino,A idade da pessoa não está mencionada no texto.,Preferência pessoal,,Má qualidade das ciclovias,Não,Não,,290525,,,,,,,
Masculino,50 anos,Exercício e saúde,Entre 3 e 5 anos,,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,34,Rapidez \ Tempo; Custo \ É mais barato,Entre 1 e 2 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
"O texto não contém informações suficientes (artigos, adjetivos, nomes ou pronomes referentes a uma pessoa) para determinar o gênero.",A idade da pessoa não está presente no texto.,Preferência pessoal,,Lixo na ciclovia,Não,Não,Não,290525,,,,,,,
Não há elementos no texto que permitam determinar o gênero da pessoa.,A idade da pessoa não está presente no texto.,Preferência pessoal,,Outros obstáculos na ciclovia,Não,,Não,290525,,,,,,,
Masculino,40 anos,Exercício e saúde,Menos de um ano,Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,41 anos,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
Masculino,37 anos,Exercício e saúde; Preferência pessoal; Praticidade e conveniência,,Lixo na ciclovia; Buracos na ciclovia; Sinalização inadequada; Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290525,,,,,,,
Feminino,A idade da pessoa não está mencionada no texto.,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,Não,290525,,,,,,,
Masculino,Quarenta e um anos,Rapidez \ Tempo,Entre 1 e 2 anos,Outros obstáculos na ciclovia; Risco de acidentes,Não,Não,"Sim, por uma bicicleta elétrica",290525,,,,,,,
Masculino,50 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,17 anos,Mais fácil,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,13 anos,Praticidade e conveniência,,,Não,Não,"Sim, por uma moto",290525,,,,,,,
Masculino,15 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,"Sim, por uma moto",290525,,,,,,,
Feminino,45 anos,Exercício e saúde,Mais de 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia",Não,Não,Não,290525,,,,,,,
Masculino,40 anos,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,17 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,15 anos,Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,"Sim, por uma moto",290525,,,,,,,
Masculino,22 anos,Praticidade e conveniência; Custo \ É mais barato,Menos de um ano,"Buracos na ciclovia, Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,49 anos,Única opção;Mais fácil,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica",290525,,,,,,,
Masculino,43 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290525,,,,,,,
Feminino,54,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,28 anos,Custo \ É mais barato,Mais de 5 anos,"Sinalização inadequada, Má qualidade das ciclovias","Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Não especificado explicitamente.,42 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Não há elementos no texto para determinar o gênero da pessoa.,A idade da pessoa não está disponível no texto.,Preferência pessoal,,Má qualidade das ciclovias,,Não,Não,290525,,,,,,,
Masculino,40,Preferência pessoal,Mais de 5 anos,Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,51 anos,Exercício e saúde,Entre 1 e 2 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,45 anos,Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,75,Única opção,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,Não,290525,,,,,,,
Masculino,34,Exercício e saúde,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290525,,,,,,,
Masculino,Meia-meia,Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Medo de assaltos,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",290525,,,,,,,
"Feminino (Pelo uso de ""muito obrigada"")",A idade da pessoa não está presente no texto.,Preferência pessoal,,"Má qualidade das ciclovias, Sinalização inadequada, Invasão de carros ou motos na ciclovia","Sim, tenho medo de acidentes",,Não,290525,,,,,,,
Masculino,64,Exercício e saúde,Mais de 5 anos,,"Sim, tenho medo de acidentes",,Não,290525,,,,,,,
Masculino,65,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Outros obstáculos na ciclovia; Machismo e desrespeito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
Feminino,69 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,,290525,,,,,,,
Masculino,41,Custo \ É mais barato,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,63,Mais fácil; Praticidade e conveniência; Única opção,Mais de 5 anos,,Não,Não,Não,290525,,,,,,,
Masculino,50,Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,31 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,24 anos,Custo \ É mais barato,Mais de 5 anos,,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,32 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,1975,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,47,Praticidade e conveniência,Mais de 5 anos,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
"Não é possível determinar o gênero da pessoa claramente com base apenas no texto, pois o nome ""Daniels"" é neutro em termos de gênero no contexto do texto e os pronomes e artigos de tratamento utilizados (tu/você) são neutros em relação ao gênero da pessoa em português.",26 anos de idade,Custo \ É mais barato,,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Feminino,49,Praticidade e conveniência;Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,67 anos,Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia,Não,Não,Não,290525,,,,,,,
Masculino,57 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,"A idade não está explicitamente mencionada no texto. O entrevistado diz que usa a bicicleta há ""Uns 35 anos por aí.""",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,24 anos,Praticidade e conveniência; Custo \ É mais barato; Rapidez \ Tempo; Única opção,Entre 1 e 2 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Feminino,40 anos,Praticidade e conveniência,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",290525,,,,,,,
Lindri Neys,26 anos,Mais fácil; Rapidez \ Tempo; Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Medo de assaltos,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,42 anos,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
Feminino,29,Rapidez \ Tempo; Praticidade e conveniência; Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Lixo na ciclovia; Falta de ciclovias; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,30 anos,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro",290525,,,,,,,
Masculino,A idade da pessoa não é mencionada no texto.,Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,62 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,44,Exercício e saúde;Custo \ É mais barato,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,17 anos,Rapidez \ Tempo;Praticidade e conveniência,Entre 1 e 2 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,Não,Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,18 anos. 19 anos.,Custo \ É mais barato,Menos de um ano,Falta de ciclovias,Não,Não,"Sim, por uma moto",290525,,,,,,,
Masculino,47,Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,56,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica",290525,,,,,,,
Masculino,41,Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,28 anos,Mais fácil,Entre 2 e 3 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,48,Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Feminino,23 anos,Praticidade e conveniência;Custo \ É mais barato;Rapidez \ Tempo,Entre 2 e 3 anos,Outros obstáculos na ciclovia; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,48 anos,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,47,Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,A idade da pessoa não está mencionada no texto.,Segurança no trânsito;Preferência pessoal,,Risco de acidentes,"Sim, tenho medo de acidentes",Não,,290525,,,,,,,
Feminino,Não está especificada no texto.,Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,47 anos,Rapidez \ Tempo; Segurança no trânsito; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290525,,,,,,,
"Feminino (Senhora, Zeni, pronome 'a' em ""a senhora"")",53,Única opção; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,47,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290525,,,,,,,
Masculino,28 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,"32 anos, ou 43 anos.",Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,16 anos,Rapidez \ Tempo; Mais fácil,Entre 2 e 3 anos,Falta de ciclovias; Risco de acidentes; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,63 anos,Praticidade e conveniência; Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,43 anos,Preferência pessoal,Entre 2 e 3 anos,Outros obstáculos na ciclovia,Não,Não,Não,290525,,,,,,,
Masculino,61,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,39 anos,Custo \ É mais barato; Única opção,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica",290525,,,,,,,
O texto não contém elementos gramaticais que definam o gênero de uma pessoa.,A idade da pessoa não está presente no texto fornecido.,Preferência pessoal,,Lixo na ciclovia,,Não,Não,290525,,,,,,,
"O texto fornecido não contém artigos, adjetivos, nomes ou pronomes que permitam determinar o gênero de uma pessoa.",A idade da pessoa não está presente no texto.,Preferência pessoal,,Outros obstáculos na ciclovia,,Não,,290525,,,,,,,
Masculino,32 anos,Segurança no trânsito;Rapidez \ Tempo,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
"Não é possível identificar o gênero da pessoa no texto, pois o vocabulário utilizado está no neutro ou na primeira pessoa do singular (""eu""), sem artigos, adjetivos ou pronomes que indiquem explicitamente o gênero masculino ou feminino.",28 anos,Preferência pessoal,Menos de um ano,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290525,,,,,,,
Masculino,52,Rapidez \ Tempo,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Lixo na ciclovia,,Sim,Não,290525,,,,,,,
Masculino,55,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",290525,,,,,,,
Feminino,A idade da pessoa não está mencionada no texto.,,,Desrespeito dos motoristas ou Trânsito,,Não,Não,290525,,,,,,,
Masculino,51 anos de idade,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
Masculino,45 anos,Rapidez \ Tempo;Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,32 anos,Preferência pessoal;Exercício e saúde,Entre 1 e 2 anos,Falta de ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,38 anos,Preferência pessoal;Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,9 anos,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,49 anos,Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,35,Exercício e saúde; Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,,290525,,,,,,,
Masculino,10 anos,Preferência pessoal,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Não,Sim,Não,290525,,,,,,,
Masculino,54 anos,Exercício e saúde,Entre 3 e 5 anos,Medo de assaltos,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,25,Praticidade e conveniência,Menos de um ano,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,46 anos,Rapidez \ Tempo; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
"Não é possível determinar o gênero da pessoa com base nos artigos, adjetivos, nomes e pronomes utilizados no texto (""o ruim,"" ""a gente,"" ""eu,"" ""mim"").",A idade da pessoa não está mencionada no texto.,,,Lixo na ciclovia,,Não,Não,290525,,,,,,,
Feminino,31 anos,Exercício e saúde;Praticidade e conveniência,Menos de um ano,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,47 anos,Praticidade e conveniência;Segurança no trânsito;Única opção,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,30,Segurança no trânsito; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,Não,290525,,,,,,,
"Não é possível determinar o gênero da pessoa entrevistada com base nos pronomes, artigos ou adjetivos utilizados no texto.",48,Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,Não,290525,,,,,,,
Feminino,41,Exercício e saúde;Preferência pessoal,Entre 2 e 3 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Feminino,53 anos,Exercício e saúde;Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Lixo na ciclovia; Risco de acidentes; Outros obstáculos na ciclovia,Não,Não,Não,290525,,,,,,,
Masculino,52 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,Não,290824,,,,,,,
Masculino,A idade da pessoa não está especificada no texto.,Preferência pessoal,Mais de 5 anos,Calor ou clima,,,"Sim, por uma moto",290824,,,,,,,
,45 anos,Rapidez \ Tempo;Preferência pessoal,,Buracos na ciclovia,,Não,Não,290824,,,,,,,
Masculino,34 anos,Custo \ É mais barato;Exercício e saúde,,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,58 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,,"Sim, mas não especifica qual meio",290824,,,,,,,
Feminino,30 anos,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,18 anos,Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia,,Não,Não,290824,,,,,,,
Masculino,A idade da pessoa não está mencionada no texto.,Exercício e saúde;Praticidade e conveniência,,,"Sim, tenho medo de acidentes",,"Sim, por um carro",290824,,,,,,,
Feminino,34 anos,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,61,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290824,,,,,,,
Masculino,42 anos,Praticidade e conveniência;Preferência pessoal,,Outros obstáculos na ciclovia,Não,Não,Não,290824,,,,,,,
Masculino,A idade da pessoa não está mencionada no texto.,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,23 anos,Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia,,,Não,290824,,,,,,,
Masculino,54 anos,Exercício e saúde;Custo \ É mais barato;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,51 anos,Custo \ É mais barato;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,24 anos,Praticidade e conveniência; Mais fácil,,Buracos na ciclovia; Má qualidade das ciclovias,,,Não,290824,,,,,,,
Masculino,33 anos de idade,Custo \ É mais barato;Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Sinalização inadequada,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,56 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,,290824,,,,,,,
,Não há menção à idade da pessoa no texto.,Rapidez \ Tempo;Preferência pessoal,,Buracos na ciclovia,Não,,Não,290824,,,,,,,
Masculino,41 anos,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,Não,290824,,,,,,,
Masculino,63,Segurança no trânsito,,,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,59,Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,Não,Não,Não,290824,,,,,,,
Masculino,51,Rapidez \ Tempo; Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290824,,,,,,,
Masculino,64,Preferência pessoal;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290824,,,,,,,
Masculino,60 anos,Exercício e saúde; Custo \ É mais barato; Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",,"Sim, por um carro",290824,,,,,,,
Masculino,24 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,25,Rapidez \ Tempo,,Má qualidade das ciclovias; Lixo na ciclovia; Buracos na ciclovia; Outros obstáculos na ciclovia,Não,Não,Não,290824,,,,,,,
Masculino,73,Única opção,,,,,Não,290824,,,,,,,
Masculino,27,Exercício e saúde,Entre 3 e 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290824,,,,,,,
Masculino,36 anos,Exercício e saúde; Preferência pessoal,,Falta de ciclovias,,Não,Não,290824,,,,,,,
Masculino,44 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,290824,,,,,,,
Masculino,60 anos,Exercício e saúde;Custo \ É mais barato;Preferência pessoal,,Outros obstáculos na ciclovia,,Não,Não,290824,,,,,,,
Masculino,41,,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Feminino,48,Rapidez \ Tempo;Mais fácil;Praticidade e conveniência,,Buracos na ciclovia,Não,Não,Não,290824,,,,,,,
Masculino,Meia-noite,Exercício e saúde,,Invasão de carros ou motos na ciclovia,Não,,Não,290824,,,,,,,
Masculino,32,Exercício e saúde,,Buracos na ciclovia,Não,Não,Não,290824,,,,,,,
Masculino,47 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Feminino,30 anos,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Masculino,31 anos,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
Feminino,38,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia; Lixo na ciclovia,,Não,Não,290824,,,,,,,
Masculino,39 anos,Exercício e saúde; Praticidade e conveniência,,Falta de ciclovias,"Sim, tenho medo de acidentes",,Não,290824,,,,,,,
Masculino,38,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,Não,"Sim, por uma moto",290824,,,,,,,
Masculino,42 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290824,,,,,,,
Masculino,63,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,290824,,,,,,,
